Gender,State,Sector,CreditID,CusID,FullNames,CompanyName,BirthDate,Address,TelNo,EmailAddr,AmountGranted,EffectiveDate,Tenor,TenorType,Rate,ScheduleType,InterestRepayFreq,PrincipalRepayFreq,NatureOfBusiness,FirstTimeAccessToCredit,StartUp,MSMEAnnualTurnover,NumberOfEmployees,Age,age_group_id,ES_Rating,green_energy/energy_efficiency,TenorInDays,MaturityDate,InterestRepayStartDate,PrincipalRepayStartDate,DateAdded
Female,Lagos,Agriculture,CAM-100068,CUS-1068,Sabrina Martinez,Murphy-Banks,1976-08-12,"PSC 5040, Box 7863
APO AE 34837",+1-787-824-8364,lisa26@daniel.com,928988,2023-07-23,26,Monthly,9.18,Reducing Balance,Quarterly,Quarterly,Services,True,False,58372732,45,9,Adult,B,True,780,2025-09-10,2023-08-22,2023-09-21,2024-01-01
Female,Kaduna,Trade and Commerce,CAM-100069,CUS-1069,Jamie Harris,"Mcbride, Waller and Shepherd",1983-01-05,"550 Hannah Tunnel Apt. 604
Garrisonberg, WY 34100",317-344-1297x600,olsonchristina@gmail.com,4584752,2023-06-14,31,Quarterly,23.51,Flat Rate,Quarterly,Quarterly,Wholesale,True,True,67978252,88,29,Adult,B,False,930,2025-12-30,2023-07-14,2023-08-13,2024-01-01
Female,Abuja,Agriculture,CAM-100070,CUS-1070,Michael Wright,Chase Ltd,1999-09-18,"3707 Hopkins Lodge Suite 073
Savannahborough, MN 65430",(419)195-3108,mckinneykeith@yahoo.com,4874857,2023-11-01,55,Quarterly,13.28,Flat Rate,Monthly,Monthly,Services,True,True,96299299,40,21,Adult,C,True,1650,2028-05-08,2023-12-01,2023-12-31,2024-01-01
Female,Oyo,ICT,CAM-100071,CUS-1071,Tammy Barnes,Stewart-Lopez,1971-09-03,"691 Kim Underpass
Carrollstad, SC 38348",+1-611-128-9918x21280,xjohnston@hotmail.com,3477590,2023-04-30,50,Monthly,12.91,Reducing Balance,Quarterly,Monthly,Consulting,False,False,2250231,97,18,Adult,A,False,1500,2027-06-08,2023-05-30,2023-06-29,2024-01-01
Male,Enugu,ICT,CAM-100072,CUS-1072,Justin Torres,"Andrews, Murphy and Riggs",1994-01-31,"139 Perkins Island Suite 419
Pearsonfurt, MT 02755",037-192-1566,xsutton@robinson.com,8099600,2023-02-13,26,Quarterly,11.26,Reducing Balance,Quarterly,Quarterly,Services,True,False,45004556,17,11,Youth,C,True,780,2025-04-03,2023-03-15,2023-04-14,2024-01-01
Female,Oyo,Trade and Commerce,CAM-100073,CUS-1073,Rachel Callahan,"Smith, Luna and Murphy",1993-12-06,"3610 Payne Key
South Kelly, SD 37159",875.463.2879x123,graybarbara@yahoo.com,7110734,2023-11-08,58,Quarterly,7.94,Reducing Balance,Monthly,Monthly,Retail,False,False,82071947,88,3,Adult,B,False,1740,2028-08-13,2023-12-08,2024-01-07,2024-01-01
Male,Kano,Agriculture,CAM-100074,CUS-1074,Nathan Fernandez,Evans-Watts,1990-05-03,"9258 Cynthia Spur
South Johnbury, AZ 91710",(939)666-6674x34464,zrichardson@hotmail.com,3797291,2023-06-05,23,Quarterly,14.76,Reducing Balance,Monthly,Monthly,Retail,True,False,57067172,57,25,Youth,C,False,690,2025-04-25,2023-07-05,2023-08-04,2024-01-01
Female,Kaduna,Agriculture,CAM-100075,CUS-1075,Henry Thompson,"Hebert, Harris and Hughes",1980-05-12,"0868 Lee Crest
Lake Bailey, WI 84023",728.642.4022,foxjohn@brown.com,5394287,2023-07-26,42,Yearly,7.6,Reducing Balance,Quarterly,Monthly,Services,False,True,89258185,2,23,Youth,B,True,1260,2027-01-06,2023-08-25,2023-09-24,2024-01-01
Female,Rivers,Agriculture,CAM-100076,CUS-1076,Jorge Peters,Bradford LLC,1984-09-13,"20187 Ramos Cape Suite 139
Michaelfurt, ND 03376",+1-196-968-9257,joneskevin@smith.com,8454647,2023-04-18,50,Monthly,21.71,Reducing Balance,Monthly,Quarterly,Retail,False,False,25518715,96,2,Youth,C,True,1500,2027-05-27,2023-05-18,2023-06-17,2024-01-01
Female,Lagos,Health,CAM-100077,CUS-1077,Lisa Jackson,Brown PLC,1987-07-25,"432 Parsons Skyway
New Annaside, AZ 25875",(276)029-4554,amyrodriguez@gmail.com,2990706,2023-09-08,37,Yearly,12.41,Flat Rate,Quarterly,Quarterly,Retail,True,False,36533367,62,9,Youth,C,False,1110,2026-09-22,2023-10-08,2023-11-07,2024-01-01
Male,Rivers,Manufacturing,CAM-100078,CUS-1078,Joseph Smith,Jones-Perez,2004-08-16,"PSC 6678, Box 0090
APO AE 35915",001-125-851-2965x73563,tinataylor@bender-fernandez.com,8042535,2023-11-30,41,Quarterly,12.5,Reducing Balance,Quarterly,Quarterly,Services,True,False,40821960,88,14,Youth,B,False,1230,2027-04-13,2023-12-30,2024-01-29,2024-01-01
Female,Kaduna,Health,CAM-100079,CUS-1079,Kimberly Li,Smith and Sons,1996-07-08,"74992 Raymond Avenue Apt. 382
Lake Lindseyview, RI 93105",+1-469-745-2837x18357,ggomez@hotmail.com,8547252,2023-05-10,22,Yearly,14.48,Flat Rate,Monthly,Quarterly,Production,True,False,44973491,9,4,Youth,C,True,660,2025-02-28,2023-06-09,2023-07-09,2024-01-01
Male,Kaduna,Manufacturing,CAM-100080,CUS-1080,Emily Bridges,Bailey Group,1999-05-05,"6202 Kimberly Port Suite 097
Guzmanberg, OR 14735",683-507-7784x85524,wwalker@yahoo.com,5754224,2023-10-20,40,Quarterly,13.88,Reducing Balance,Quarterly,Quarterly,Production,True,False,54461766,68,29,Youth,A,True,1200,2027-02-01,2023-11-19,2023-12-19,2024-01-01
Female,Kaduna,Agriculture,CAM-100081,CUS-1081,Thomas Hart,"Anthony, Day and Hoover",1992-07-13,"88699 Bryant Skyway
Gallegosberg, NE 37687",001-713-843-1375x99826,uscott@hotmail.com,6715140,2023-01-20,54,Yearly,24.9,Reducing Balance,Quarterly,Quarterly,Wholesale,False,False,2420993,81,9,Adult,C,False,1620,2027-06-28,2023-02-19,2023-03-21,2024-01-01
Male,Rivers,Agriculture,CAM-100082,CUS-1082,Brittany Schwartz,"Green, Martinez and Howard",1989-07-11,"8305 Wilson Passage
Lake Erinburgh, PA 64139",(469)035-4920,danieldixon@yahoo.com,4237973,2023-10-09,16,Quarterly,15.91,Flat Rate,Monthly,Monthly,Retail,False,False,21038007,17,13,Youth,C,True,480,2025-01-31,2023-11-08,2023-12-08,2024-01-01
Female,Enugu,Health,CAM-100083,CUS-1083,Caleb Mason,Gordon-Gonzalez,1990-05-08,"56508 Barnett Mountain Apt. 916
Byrdstad, HI 62775",+1-608-764-7499x941,rbrown@johnson.com,2702575,2023-10-12,26,Yearly,6.76,Flat Rate,Monthly,Quarterly,Services,True,True,97306518,50,18,Adult,A,False,780,2025-11-30,2023-11-11,2023-12-11,2024-01-01
Male,Kaduna,Health,CAM-100084,CUS-1084,Jose Johnson,Wade-Smith,2000-07-10,"134 Jackson Crescent Suite 742
Wilsonfort, TX 39149",950-498-2991x474,jgoodwin@ponce.net,7111653,2023-01-01,57,Yearly,17.14,Reducing Balance,Monthly,Quarterly,Retail,True,True,35548071,94,15,Adult,B,True,1710,2027-09-07,2023-01-31,2023-03-02,2024-01-01
Male,Oyo,Manufacturing,CAM-100085,CUS-1085,Brittney Taylor,Thompson-Little,1984-04-21,"42257 Julia Flats
Jeantown, DC 99098",+1-868-770-7693x3393,schroederbrian@yahoo.com,964071,2023-04-29,58,Yearly,8.03,Flat Rate,Quarterly,Monthly,Consulting,False,True,98659263,40,28,Youth,A,True,1740,2028-02-02,2023-05-29,2023-06-28,2024-01-01
Female,Rivers,ICT,CAM-100086,CUS-1086,Christian Craig,Campbell PLC,1988-01-16,"621 Bauer Valleys Apt. 212
Port Markberg, MO 73053",+1-391-610-0918x548,morenonicholas@kennedy.com,4881137,2023-02-04,31,Monthly,5.62,Flat Rate,Monthly,Quarterly,Retail,True,True,90487398,58,10,Youth,C,True,930,2025-08-22,2023-03-06,2023-04-05,2024-01-01
Male,Kaduna,Manufacturing,CAM-100087,CUS-1087,Dana Lee,Padilla-Clark,1982-11-20,"311 John Lodge
West Rachel, MS 47038",127.278.3495x67293,vanessa23@spence-castillo.com,5412216,2023-07-17,9,Yearly,24.41,Flat Rate,Monthly,Quarterly,Retail,False,True,93160404,75,16,Adult,B,False,270,2024-04-12,2023-08-16,2023-09-15,2024-01-01
Female,Oyo,Health,CAM-100088,CUS-1088,Ashley Jones,"Miller, Nelson and Jackson",1988-07-02,"317 Webb Throughway
Foleyberg, PA 68812",721-277-5826,watersvictoria@ballard.com,9664043,2023-09-02,39,Monthly,20.47,Flat Rate,Monthly,Monthly,Production,True,True,48984860,85,12,Adult,C,True,1170,2026-11-15,2023-10-02,2023-11-01,2024-01-01
Female,Enugu,Health,CAM-100089,CUS-1089,David Bauer,"Thomas, Klein and Rodriguez",1980-03-15,"87016 Adam Loop Apt. 098
Kimfort, IN 25165",7571804938,bowmanjoseph@gmail.com,8097626,2023-02-28,57,Quarterly,24.6,Reducing Balance,Monthly,Monthly,Services,False,False,97071437,21,20,Adult,C,False,1710,2027-11-04,2023-03-30,2023-04-29,2024-01-01
Female,Kano,Trade and Commerce,CAM-100090,CUS-1090,Tiffany Harrell,Henry LLC,1994-08-28,"5944 Rachael Squares
Floresview, ID 82629",470-395-2650x77080,herreraevan@garcia.net,3998472,2023-11-21,53,Yearly,14.56,Flat Rate,Quarterly,Monthly,Retail,False,False,4752690,18,5,Adult,A,True,1590,2028-03-29,2023-12-21,2024-01-20,2024-01-01
Female,Enugu,Health,CAM-100091,CUS-1091,Richard Donovan,Morgan-Costa,1983-01-05,"996 Casey Courts
Lake Paulside, KS 61743",001-397-443-6912,djefferson@yahoo.com,8869689,2023-06-10,23,Quarterly,15.65,Reducing Balance,Quarterly,Quarterly,Production,False,True,50482500,55,2,Youth,A,False,690,2025-04-30,2023-07-10,2023-08-09,2024-01-01
Female,Kaduna,Trade and Commerce,CAM-100092,CUS-1092,Lauren Ramirez,"Hughes, Knapp and King",1982-08-24,"9374 Gibbs Haven Suite 975
Port Michaelburgh, AK 71684",752.858.6853,mileslinda@weber-holt.com,2064718,2023-06-28,45,Quarterly,8.37,Reducing Balance,Monthly,Monthly,Wholesale,False,False,70112374,29,10,Youth,B,False,1350,2027-03-09,2023-07-28,2023-08-27,2024-01-01
Female,Rivers,ICT,CAM-100093,CUS-1093,Dave Chavez,Bailey LLC,1979-06-09,"27077 David Forks Apt. 073
North Brittney, AL 22666",3511984002,riddlegabriela@gmail.com,5639743,2023-07-25,40,Yearly,9.94,Reducing Balance,Quarterly,Quarterly,Production,False,True,19848408,24,1,Youth,B,True,1200,2026-11-06,2023-08-24,2023-09-23,2024-01-01
Female,Abuja,Manufacturing,CAM-100094,CUS-1094,Jordan Kennedy,Chambers and Sons,1977-10-10,"463 Patrick Square
Lake Glennburgh, MD 09723",+1-592-196-7785,turnersteven@hotmail.com,4313270,2023-01-12,46,Monthly,21.77,Reducing Balance,Monthly,Quarterly,Production,True,False,70969235,74,7,Adult,B,False,1380,2026-10-23,2023-02-11,2023-03-13,2024-01-01
Female,Kaduna,Manufacturing,CAM-100095,CUS-1095,Nathan West,Howard LLC,1985-05-15,"212 Burke Ridge
Gonzalesburgh, NY 40762",(366)937-9529x0096,dennis86@baker.com,5306425,2023-10-03,34,Yearly,12.12,Flat Rate,Monthly,Quarterly,Production,False,False,81694571,17,26,Youth,C,False,1020,2026-07-19,2023-11-02,2023-12-02,2024-01-01
Female,Abuja,Trade and Commerce,CAM-100096,CUS-1096,Stephen Bell,"Collier, Trevino and Kelly",1981-08-12,"268 Lee Vista Suite 093
Julieview, IN 63823",422.685.4002x6319,norristina@hotmail.com,7109876,2023-06-30,57,Quarterly,21.54,Flat Rate,Quarterly,Quarterly,Retail,True,False,26555728,18,17,Adult,A,False,1710,2028-03-05,2023-07-30,2023-08-29,2024-01-01
Female,Oyo,Manufacturing,CAM-100097,CUS-1097,Karen Ellis,Morgan PLC,1976-01-16,"007 Smith Fall
Calvinborough, MA 36514",110-085-0435x7464,roy13@hotmail.com,2878837,2023-08-30,34,Quarterly,19.18,Reducing Balance,Quarterly,Monthly,Retail,False,False,68395265,42,16,Youth,A,False,1020,2026-06-15,2023-09-29,2023-10-29,2024-01-01
Female,Kano,Health,CAM-100098,CUS-1098,Michael Tucker,"Morales, George and Duncan",1988-02-05,"610 Rita Way
Port Mary, CA 28683",(969)049-2122x4746,gonzalezrachel@buck-bryan.net,6623769,2023-08-04,43,Yearly,8.54,Reducing Balance,Monthly,Monthly,Wholesale,False,False,47353996,84,27,Adult,A,True,1290,2027-02-14,2023-09-03,2023-10-03,2024-01-01
Male,Lagos,Agriculture,CAM-100099,CUS-1099,Kimberly Daniels,Mosley-Bowman,1988-06-18,"2343 Michael Gardens
Mccarthymouth, ME 67679",205.926.6591x83839,hernandezstephanie@snyder.info,2024102,2023-09-08,47,Monthly,15.15,Reducing Balance,Monthly,Quarterly,Consulting,True,False,96205561,45,27,Youth,B,True,1410,2027-07-19,2023-10-08,2023-11-07,2024-01-01
Male,Enugu,Trade and Commerce,CAM-100100,CUS-1100,Charles Smith DVM,Gonzales Ltd,2001-09-27,"95602 Mackenzie Shores Apt. 443
Russellburgh, NM 99490",001-876-897-2896x61525,lindasmith@hotmail.com,9552788,2023-10-26,26,Monthly,18.55,Reducing Balance,Quarterly,Monthly,Consulting,True,True,55947238,82,24,Youth,A,True,780,2025-12-14,2023-11-25,2023-12-25,2024-01-01
Female,Kano,Manufacturing,CAM-100101,CUS-1101,Ashlee Wright,"Cox, Williams and Long",1969-08-19,"407 Johnson Ranch
North Chelseaville, GA 62098",(084)545-3304x4957,rollinserik@stewart-eaton.com,2883366,2023-05-06,47,Quarterly,9.7,Flat Rate,Monthly,Quarterly,Consulting,True,True,32147291,17,3,Adult,A,False,1410,2027-03-16,2023-06-05,2023-07-05,2024-01-01
Female,Kaduna,Trade and Commerce,CAM-100102,CUS-1102,Ryan Richards,"Martinez, Simmons and Miller",2004-08-22,"89132 Zhang Mountains
Charlesmouth, OH 07819",+1-172-666-2414x1570,robersoncrystal@winters-lloyd.info,2535848,2023-08-05,18,Quarterly,21.61,Reducing Balance,Quarterly,Quarterly,Wholesale,True,False,84969705,73,14,Adult,A,False,540,2025-01-26,2023-09-04,2023-10-04,2024-01-01
Female,Abuja,Trade and Commerce,CAM-100103,CUS-1103,Cassandra Greer,"Gomez, Sampson and Burch",1987-10-03,"0063 Collins Common
Ryanbury, LA 31788",+1-428-745-7200,ramirezsheila@yahoo.com,5622930,2023-11-02,54,Monthly,15.9,Flat Rate,Monthly,Quarterly,Consulting,False,True,33616374,14,10,Adult,B,True,1620,2028-04-09,2023-12-02,2024-01-01,2024-01-01
Female,Enugu,Agriculture,CAM-100104,CUS-1104,Maria Rodriguez,Edwards-Russell,1993-02-07,"807 Jenna Drive
Grahammouth, IN 03460",(978)945-6365x36237,michael56@phillips.org,9093223,2023-10-12,46,Yearly,8.3,Reducing Balance,Monthly,Monthly,Consulting,True,False,21138117,49,22,Adult,A,True,1380,2027-07-23,2023-11-11,2023-12-11,2024-01-01
Female,Abuja,Health,CAM-100105,CUS-1105,Patrick Castillo,Green-Waters,1973-08-11,"9506 Williams Alley
New John, WY 36749",812.878.8082,fhenson@hotmail.com,7191409,2023-07-04,22,Quarterly,16.66,Reducing Balance,Quarterly,Quarterly,Production,False,True,97464546,29,7,Adult,B,False,660,2025-04-24,2023-08-03,2023-09-02,2024-01-01
Female,Rivers,Trade and Commerce,CAM-100106,CUS-1106,Laura Gonzales,"Jordan, Phillips and Webb",1985-07-12,"089 Elizabeth Centers
Patrickshire, NY 35841",001-067-476-2308x3224,jonesvirginia@hotmail.com,1338003,2023-02-08,14,Monthly,24.99,Reducing Balance,Quarterly,Quarterly,Retail,True,False,93124305,95,26,Youth,A,True,420,2024-04-03,2023-03-10,2023-04-09,2024-01-01
Female,Abuja,Manufacturing,CAM-100107,CUS-1107,John Jones,Jones-Koch,1972-02-28,"3488 Lawrence Gateway Apt. 101
Juantown, UT 66517",001-382-251-7694x0835,cisneroselizabeth@phillips.biz,3933382,2023-08-11,46,Quarterly,8.01,Reducing Balance,Quarterly,Monthly,Retail,True,True,83952330,4,17,Adult,A,True,1380,2027-05-22,2023-09-10,2023-10-10,2024-01-01
Female,Rivers,ICT,CAM-100108,CUS-1108,Mrs. Melissa Gomez,"Burke, White and Maddox",1987-07-24,"8083 Walker Mews Apt. 367
Kennethland, NY 23522",840-349-2431x6780,judithnelson@waters-sexton.biz,9170178,2023-07-03,6,Yearly,21.34,Flat Rate,Quarterly,Monthly,Production,False,False,88838133,82,6,Youth,A,False,180,2023-12-30,2023-08-02,2023-09-01,2024-01-01
Male,Oyo,Trade and Commerce,CAM-100109,CUS-1109,Lisa Ryan,"Jennings, Powell and Moran",1990-10-03,"8990 Norman Rest
West Rachael, KS 74796",740.561.7691x5967,kjenkins@kennedy-turner.com,3895049,2023-06-27,7,Monthly,9.15,Flat Rate,Quarterly,Monthly,Production,False,True,5291987,20,23,Youth,B,True,210,2024-01-23,2023-07-27,2023-08-26,2024-01-01
Female,Enugu,Trade and Commerce,CAM-100110,CUS-1110,Debra Miller,Hester Inc,1997-05-19,"95415 White Bypass Apt. 310
Port Joshua, NJ 45603",924-306-0133,stephaniecarr@stevens.com,566150,2023-10-21,53,Quarterly,20.65,Flat Rate,Quarterly,Monthly,Production,True,False,49538500,47,22,Youth,B,False,1590,2028-02-27,2023-11-20,2023-12-20,2024-01-01
Male,Enugu,Agriculture,CAM-100111,CUS-1111,Jessica Robles,Lee-Johnson,1989-08-26,"49782 Lawson Dale Suite 110
Salazarstad, MT 70821",(869)842-2800x70101,kbrooks@watkins.com,8451632,2023-12-06,34,Yearly,19.69,Reducing Balance,Quarterly,Quarterly,Retail,False,True,59873362,9,4,Youth,A,True,1020,2026-09-21,2024-01-05,2024-02-04,2024-01-01
Female,Lagos,Health,CAM-100112,CUS-1112,Cheryl Skinner,"Dunlap, Patel and Cruz",2001-09-12,"655 Carol Circle Suite 101
North Tarashire, CT 14837",001-143-568-1015,donnasullivan@yahoo.com,7929645,2023-05-31,38,Quarterly,11.01,Reducing Balance,Monthly,Monthly,Consulting,False,False,31268923,77,17,Youth,C,False,1140,2026-07-14,2023-06-30,2023-07-30,2024-01-01
Female,Kaduna,ICT,CAM-100113,CUS-1113,Evelyn Garcia,Brown-Gallagher,1976-04-04,"5988 Anthony Run
East Sergiobury, SC 36412",(183)961-5807x696,louis65@gmail.com,6581687,2023-05-06,15,Yearly,11.52,Flat Rate,Monthly,Quarterly,Production,False,False,84298322,79,27,Adult,B,False,450,2024-07-29,2023-06-05,2023-07-05,2024-01-01
Male,Rivers,Manufacturing,CAM-100114,CUS-1114,Nicole Walker,"Moses, White and Brown",1996-12-10,"527 Michelle Dam
South Susan, AZ 78023",156.950.6121x6220,samanthajackson@yahoo.com,9448331,2023-10-28,55,Yearly,20.85,Flat Rate,Monthly,Monthly,Wholesale,False,False,49809902,27,9,Adult,B,False,1650,2028-05-04,2023-11-27,2023-12-27,2024-01-01
Female,Lagos,ICT,CAM-100115,CUS-1115,Mrs. Crystal Medina,Williams-Watson,1973-04-09,"274 Sanchez Ramp Suite 023
Millertown, KS 49695",443-711-7452x436,jennifercook@gmail.com,3047500,2023-11-04,45,Monthly,14.23,Reducing Balance,Quarterly,Monthly,Production,False,True,67555773,15,4,Youth,A,False,1350,2027-07-16,2023-12-04,2024-01-03,2024-01-01
Male,Abuja,Manufacturing,CAM-100116,CUS-1116,Jesus Brooks,Smith Group,1973-04-29,"27914 Lindsey Pike Suite 884
New Seanhaven, VT 84658",131-194-3512,kristi00@gmail.com,9888162,2023-12-02,26,Yearly,19.62,Reducing Balance,Quarterly,Monthly,Services,False,True,11179279,92,7,Youth,C,False,780,2026-01-20,2024-01-01,2024-01-31,2024-01-01
Female,Abuja,Health,CAM-100117,CUS-1117,Tina Barajas,"Hunt, Norman and Norman",1978-03-17,"18108 Petersen Lodge Suite 668
North Joyfurt, AZ 36812",009-255-9983x95742,billy95@gmail.com,4693060,2023-08-22,33,Quarterly,7.96,Flat Rate,Quarterly,Monthly,Production,False,True,14896471,19,23,Adult,A,True,990,2026-05-08,2023-09-21,2023-10-21,2024-01-01
Female,Lagos,Manufacturing,CAM-100118,CUS-1118,Sarah Johnson,"Ramirez, Mays and Sanchez",1989-08-29,"908 Jared Isle Apt. 131
Andrewmouth, MI 19018",+1-378-582-8018,djackson@hall.com,634055,2023-01-08,16,Yearly,22.05,Reducing Balance,Monthly,Monthly,Retail,False,False,56594920,90,2,Adult,B,True,480,2024-05-02,2023-02-07,2023-03-09,2024-01-01
Male,Enugu,Agriculture,CAM-100119,CUS-1119,James Hodges,"Fisher, Arnold and Owens",1997-05-12,"958 Zachary Parks
Jeromechester, IA 89562",510.402.3187,revans@bryant-fox.com,9564630,2023-12-07,39,Yearly,19.22,Reducing Balance,Quarterly,Monthly,Production,True,True,61304974,52,17,Youth,B,True,1170,2027-02-19,2024-01-06,2024-02-05,2024-01-01
Female,Abuja,Agriculture,CAM-100120,CUS-1120,Matthew Lambert,"Maldonado, Singh and Barron",1989-08-16,"Unit 7805 Box 7898
DPO AA 37341",452.251.9756,wareanthony@jackson.biz,9698550,2023-05-09,13,Monthly,23.14,Flat Rate,Quarterly,Quarterly,Services,False,False,7492952,26,24,Adult,A,False,390,2024-06-02,2023-06-08,2023-07-08,2024-01-01
Male,Oyo,Agriculture,CAM-100121,CUS-1121,Kristi Jordan,Kirby-Ramirez,2002-04-16,"823 Malone Street
Johnsberg, VA 56414",236.966.3461x3707,porterbrittany@yahoo.com,9584966,2023-09-21,27,Yearly,7.65,Reducing Balance,Monthly,Monthly,Wholesale,True,True,50236011,89,8,Adult,A,True,810,2025-12-09,2023-10-21,2023-11-20,2024-01-01
Female,Oyo,Agriculture,CAM-100122,CUS-1122,Dustin Russo,House PLC,1976-11-18,"9824 Carl Valleys
South Emily, IN 38729",411.086.5243x939,matthew49@gmail.com,2341648,2023-06-06,13,Yearly,16.86,Flat Rate,Quarterly,Monthly,Consulting,False,True,96469046,26,23,Adult,C,False,390,2024-06-30,2023-07-06,2023-08-05,2024-01-01
Male,Lagos,ICT,CAM-100123,CUS-1123,Douglas Potter,Bentley Inc,1981-09-28,"5758 David Row Suite 247
West Kylechester, RI 06512",3623102799,fosterjustin@gmail.com,7632508,2023-12-18,54,Quarterly,16.98,Reducing Balance,Monthly,Monthly,Production,False,True,67256994,26,15,Youth,C,False,1620,2028-05-25,2024-01-17,2024-02-16,2024-01-01
Male,Rivers,Health,CAM-100124,CUS-1124,Marc Jones,Raymond PLC,1997-11-16,"09638 Singleton Loaf
East Brandonshire, ND 06829",001-130-176-9056x8500,matthew12@gmail.com,6937845,2023-12-24,20,Monthly,12.07,Flat Rate,Monthly,Monthly,Services,False,True,12197174,46,15,Adult,B,True,600,2025-08-15,2024-01-23,2024-02-22,2024-01-01
Female,Rivers,Manufacturing,CAM-100125,CUS-1125,Matthew Smith,"Delgado, Bailey and Mitchell",1973-03-26,"330 Maddox Pike
Larryland, NH 92850",+1-037-997-9197x38828,jenkinstina@odonnell.com,4328433,2023-01-05,22,Monthly,14.17,Reducing Balance,Quarterly,Quarterly,Services,False,False,80002445,92,8,Youth,C,False,660,2024-10-26,2023-02-04,2023-03-06,2024-01-01
Female,Lagos,Manufacturing,CAM-100126,CUS-1126,Meagan Perez,Edwards-Moore,1985-01-03,"68324 Andre Street
New Kathryn, MA 36813",8236963991,epatton@marshall.com,3235264,2023-03-27,28,Monthly,5.76,Flat Rate,Quarterly,Monthly,Wholesale,True,True,8297042,49,16,Youth,C,True,840,2025-07-14,2023-04-26,2023-05-26,2024-01-01
Male,Rivers,Agriculture,CAM-100127,CUS-1127,Connor Lowe,Thompson-Smith,1978-10-11,"42319 Ramirez Lock Apt. 639
Johnberg, VT 60378",+1-660-730-0402x641,jonathan27@gmail.com,4948748,2023-06-24,29,Yearly,19.92,Flat Rate,Quarterly,Monthly,Retail,True,True,82710501,82,19,Youth,B,False,870,2025-11-10,2023-07-24,2023-08-23,2024-01-01
Female,Enugu,Agriculture,CAM-100128,CUS-1128,Linda Moody,"Watson, Phelps and Flowers",1972-04-11,"7830 Patterson Turnpike
Kochberg, KS 45035",520.408.5662x94508,martinjoseph@delgado-peterson.biz,7652747,2023-10-17,50,Monthly,15.99,Flat Rate,Monthly,Monthly,Production,False,False,73161443,96,11,Youth,B,False,1500,2027-11-25,2023-11-16,2023-12-16,2024-01-01
Female,Enugu,Trade and Commerce,CAM-100129,CUS-1129,Katherine Simpson,Bolton and Sons,1979-01-23,"069 Kenneth Estates
Amandaville, MO 73074",(939)691-2866x916,cole72@harris.com,4637270,2023-07-12,24,Yearly,6.15,Flat Rate,Monthly,Monthly,Services,True,False,9200262,53,2,Youth,B,True,720,2025-07-01,2023-08-11,2023-09-10,2024-01-01
Female,Rivers,Health,CAM-100130,CUS-1130,Cathy Trujillo,Alvarado-Gomez,1970-12-14,"283 Christine Ports
Timothymouth, AR 96852",429.014.4459,weissaaron@wong-schneider.com,4817922,2023-11-07,10,Yearly,18.62,Reducing Balance,Monthly,Quarterly,Wholesale,False,True,30862768,3,23,Adult,B,False,300,2024-09-02,2023-12-07,2024-01-06,2024-01-01
Male,Oyo,ICT,CAM-100131,CUS-1131,Cody Acosta,Brady Ltd,1998-12-03,"936 Michael Meadow Suite 047
South Brittanyside, CA 76125",589.053.0581x511,larry56@gmail.com,9347905,2023-04-29,37,Quarterly,14.34,Reducing Balance,Quarterly,Monthly,Consulting,False,True,76834030,66,24,Youth,A,True,1110,2026-05-13,2023-05-29,2023-06-28,2024-01-01
Male,Rivers,Manufacturing,CAM-100132,CUS-1132,William Holland,"Michael, Morton and Smith",1984-09-13,"5938 Parker Union
Port Nicholas, VA 53526",659-301-9892x191,buckleyadam@mcgee.org,7965373,2023-08-06,49,Quarterly,5.69,Flat Rate,Quarterly,Quarterly,Services,True,False,76798069,97,17,Youth,B,False,1470,2027-08-15,2023-09-05,2023-10-05,2024-01-01
Male,Enugu,Trade and Commerce,CAM-100133,CUS-1133,Wayne Villegas,Johnston-Clark,1981-02-14,"3700 Munoz Overpass Apt. 897
Walkerstad, ND 89338",279.584.6144,cgibson@mahoney-shaw.com,1520154,2023-04-24,6,Quarterly,24.39,Reducing Balance,Quarterly,Monthly,Wholesale,True,False,67556711,42,28,Youth,B,True,180,2023-10-21,2023-05-24,2023-06-23,2024-01-01
Male,Kano,Trade and Commerce,CAM-100134,CUS-1134,Jonathan Stone,Kelly and Sons,1981-09-30,"52534 Antonio Dale
Port Amandaville, LA 18243",(610)899-2655,devin82@payne-lamb.com,8570924,2023-05-25,28,Quarterly,23.98,Reducing Balance,Quarterly,Quarterly,Retail,False,False,87495505,19,26,Adult,B,False,840,2025-09-11,2023-06-24,2023-07-24,2024-01-01
Male,Kaduna,Manufacturing,CAM-100135,CUS-1135,Karen Estes,Lara-Ramirez,1993-09-05,"7339 Kirk Drives Suite 455
Melissachester, NM 03733",001-350-554-2857x3305,jamesroach@carson.info,7343532,2023-01-26,42,Quarterly,15.26,Reducing Balance,Monthly,Quarterly,Retail,False,True,21080923,17,16,Adult,C,True,1260,2026-07-09,2023-02-25,2023-03-27,2024-01-01
Male,Abuja,ICT,CAM-100136,CUS-1136,Catherine Blake,Peterson-Hill,1993-11-07,"1703 Michael Underpass Suite 614
Williammouth, MS 45930",+1-021-712-6573,emoreno@moreno.com,5445169,2023-05-16,13,Yearly,6.87,Reducing Balance,Monthly,Monthly,Services,True,True,28705487,33,25,Adult,B,True,390,2024-06-09,2023-06-15,2023-07-15,2024-01-01
